City,State,
Abilene, TX,253
Akron, OH,75
Albany, GA,313
Albany, OR,351
Albany-Schenectady-Troy, NY,57
Albuquerque, NM,64
Alexandria, LA,271
Allentown-Bethlehem-Easton, PA-NJ,65
Altoona, PA,299
Amarillo, TX,173
Ames, IA,318
Anchorage, AK,95
Ann Arbor, MI,114
Anniston-Oxford-Jacksonville, AL,358
Appleton, WI,180
Asheville, NC,133
Athens-Clarke County, GA,220
Atlanta-Sandy Springs-Roswell, GA,10
Atlantic City-Hammonton, NJ,177
Auburn-Opelika, AL,309
Augusta-Richmond County, GA-SC,108
Austin-Round Rock, TX,27
Bakersfield, CA,78
Baltimore-Columbia-Towson, MD,19
Bangor, ME,277
Barnstable Town, MA,186
Baton Rouge, LA,58
Battle Creek, MI,275
Bay City, MI,369
Beaumont-Port Arthur, TX,103
Beckley, WV,353
Bellingham, WA,198
Bend-Redmond, OR,213
Billings, MT,200
Binghamton, NY,212
Birmingham-Hoover, AL,51
Bismarck, ND,235
Blacksburg-Christiansburg-Radford, VA,247
Bloomington, IL,187
Bloomington, IN,250
Bloomsburg-Berwick, PA,355
Boise City, ID,82
Boston-Cambridge-Newton, MA-NH,9
Boulder, CO,107
Bowling Green, KY,245
Bremerton-Silverdale, WA,191
Bridgeport-Stamford-Norwalk, CT,37
Brownsville-Harlingen, TX,196
Brunswick, GA,347
Buffalo-Cheektowaga-Niagara Falls, NY,55
Burlington, NC,301
Burlington-South Burlington, VT,167
California-Lexington Park, MD,259
Canton-Massillon, OH,146
Cape Coral-Fort Myers, FL,94
Cape Girardeau, MO-IL,344
Carbondale-Marion, IL,308
Carson City, NV,367
Casper, WY,280
Cedar Rapids, IA,137
Chambersburg-Waynesboro, PA,302
Champaign-Urbana, IL,182
Charleston, WV,176
Charleston-North Charleston, SC,73
Charlotte-Concord-Gastonia, NC-SC,21
Charlottesville, VA,175
Chattanooga, TN-GA,100
Cheyenne, WY,293
Chicago-Naperville-Elgin, IL-IN-WI,3
Chico, CA,234
Cincinnati, OH-KY-IN,28
Clarksville, TN-KY,192
Cleveland, TN,340
Cleveland-Elyria, OH,30
Coeur d'Alene, ID,290
College Station-Bryan, TX,209
Colorado Springs, CO,83
Columbia, MO,217
Columbia, SC,70
Columbus, GA-AL,165
Columbus, IN,287
Columbus, OH,29
Corpus Christi, TX,112
Corvallis, OR,334
Crestview-Fort Walton Beach-Destin, FL,166
Cumberland, MD-WV,370
Dallas-Fort Worth-Arlington, TX,4
Dalton, GA,266
Danville, IL,377
Daphne-Fairhope-Foley, AL,248
Davenport-Moline-Rock Island, IA-IL,127
Dayton, OH,68
Decatur, AL,300
Decatur, IL,270
Deltona-Daytona Beach-Ormond Beach, FL,142
Denver-Aurora-Lakewood, CO,18
Des Moines-West Des Moines, IA,59
Detroit-Warren-Dearborn, MI,13
Dothan, AL,316
Dover, DE,243
Dubuque, IA,294
Duluth, MN-WI,178
Durham-Chapel Hill, NC,63
East Stroudsburg, PA,276
Eau Claire, WI,227
El Centro, CA,285
Elizabethtown-Fort Knox, KY,263
Elkhart-Goshen, IN,154
Elmira, NY,366
El Paso, TX,90
Enid, OK,371
Erie, PA,189
Eugene, OR,156
Evansville, IN-KY,143
Fairbanks, AK,297
Fargo, ND-MN,155
Farmington, NM,288
Fayetteville, NC,140
Fayetteville-Springdale-Rogers, AR-MO,97
Flagstaff, AZ,282
Flint, MI,164
Florence, SC,229
Florence-Muscle Shoals, AL,322
Fond du Lac, WI,328
Fort Collins, CO,150
Fort Smith, AR-OK,202
Fort Wayne, IN,115
Fresno, CA,69
Gadsden, AL,375
Gainesville, FL,179
Gainesville, GA,218
Gettysburg, PA,368
Glens Falls, NY,323
Goldsboro, NC,336
Grand Forks, ND-MN,303
Grand Island, NE,341
Grand Junction, CO,311
Grand Rapids-Wyoming, MI,53
Grants Pass, OR,380
Great Falls, MT,364
Greeley, CO,188
Green Bay, WI,132
Greensboro-High Point, NC,71
Greenville, NC,228
Greenville-Anderson-Mauldin, SC,67
Gulfport-Biloxi-Pascagoula, MS,147
Hagerstown-Martinsburg, MD-WV,207
Hammond, LA,361
Hanford-Corcoran, CA,315
Harrisburg-Carlisle, PA,77
Harrisonburg, VA,233
Hartford-West Hartford-East Hartford, CT,40
Hattiesburg, MS,278
Hickory-Lenoir-Morganton, NC,169
Hilton Head Island-Bluffton-Beaufort, SC,216
Hinesville, GA,365
Homosassa Springs, FL,373
Hot Springs, AR,372
Houma-Thibodaux, LA,199
Houston-The Woodlands-Sugar Land, TX,6
Huntington-Ashland, WV-KY-OH,160
Huntsville, AL,104
Idaho Falls, ID,261
Indianapolis-Carmel-Anderson, IN,26
Iowa City, IA,204
Ithaca, NY,314
Jackson, MI,269
Jackson, MS,87
Jackson, TN,273
Jacksonville, FL,47
Jacksonville, NC,238
Janesville-Beloit, WI,257
Jefferson City, MO,239
Johnson City, TN,252
Johnstown, PA,343
Jonesboro, AR,307
Joplin, MO,241
Kahului-Wailuku-Lahaina, HI,222
Kalamazoo-Portage, MI,148
Kankakee, IL,348
Kansas City, MO-KS,31
Kennewick-Richland, WA,174
Killeen-Temple, TX,134
Kingsport-Bristol-Bristol, TN-VA,184
Kingston, NY,272
Knoxville, TN,72
Kokomo, IN,329
La Crosse-Onalaska, WI-MN,244
Lafayette, LA,116
Lafayette-West Lafayette, IN,201
Lake Charles, LA,145
Lake Havasu City-Kingman, AZ,342
Lakeland-Winter Haven, FL,120
Lancaster, PA,91
Lansing-East Lansing, MI,113
Laredo, TX,230
Las Cruces, NM,249
Las Vegas-Henderson-Paradise, NV,36
Lawrence, KS,335
Lawton, OK,317
Lebanon, PA,320
Lewiston, ID-WA,381
Lewiston-Auburn, ME,350
Lexington-Fayette, KY,88
Lima, OH,292
Lincoln, NE,126
Little Rock-North Little Rock-Conway, AR,74
Logan, UT-ID,326
Longview, TX,206
Longview, WA,349
Los Angeles-Long Beach-Anaheim, CA,2
Louisville/Jefferson County, KY-IN,46
Lubbock, TX,171
Lynchburg, VA,211
Macon, GA,210
Madera, CA,310
Madison, WI,61
Manchester-Nashua, NH,96
Manhattan, KS,363
Mankato-North Mankato, MN,298
Mansfield, OH,337
McAllen-Edinburg-Mission, TX,125
Medford, OR,231
Memphis, TN-MS-AR,48
Merced, CA,225
Miami-Fort Lauderdale-West Palm Beach, FL,12
Michigan City-La Porte, IN,357
Midland, MI,295
Midland, TX,105
Milwaukee-Waukesha-West Allis, WI,38
Minneapolis-St. Paul-Bloomington, MN-WI,15
Missoula, MT,306
Mobile, AL,128
Modesto, CA,124
Monroe, LA,240
Monroe, MI,330
Montgomery, AL,139
Morgantown, WV,236
Morristown, TN,345
Mount Vernon-Anacortes, WA,279
Muncie, IN,360
Muskegon, MI,286
Myrtle Beach-Conway-North Myrtle Beach, SC-NC,144
Napa, CA,194
Naples-Immokalee-Marco Island, FL,141
Nashville-Davidson--Murfreesboro--Franklin, TN,33
New Bern, NC,321
New Haven-Milford, CT,62
New Orleans-Metairie, LA,45
New York-Newark-Jersey City, NY-NJ-PA,1
Niles-Benton Harbor, MI,254
North Port-Sarasota-Bradenton, FL,86
Norwich-New London, CT,151
Ocala, FL,223
Ocean City, NJ,305
Odessa, TX,219
Ogden-Clearfield, UT,101
Oklahoma City, OK,49
Olympia-Tumwater, WA,185
Omaha-Council Bluffs, NE-IA,52
Orlando-Kissimmee-Sanford, FL,32
Oshkosh-Neenah, WI,197
Owensboro, KY,289
Oxnard-Thousand Oaks-Ventura, CA,60
Palm Bay-Melbourne-Titusville, FL,118
Panama City, FL,224
Parkersburg-Vienna, WV,356
Pensacola-Ferry Pass-Brent, FL,138
Peoria, IL,121
Philadelphia-Camden-Wilmington, PA-NJ-DE-MD,8
Phoenix-Mesa-Scottsdale, AZ,16
Pine Bluff, AR,374
Pittsburgh, PA,25
Pittsfield, MA,255
Pocatello, ID,378
Portland-South Portland, ME,85
Portland-Vancouver-Hillsboro, OR-WA,20
Port St. Lucie, FL,172
Prescott, AZ,281
Providence-Warwick, RI-MA,43
Provo-Orem, UT,109
Pueblo, CO,324
Punta Gorda, FL,346
Racine, WI,232
Raleigh, NC,44
Rapid City, SD,256
Reading, PA,123
Redding, CA,265
Reno, NV,99
Richmond, VA,42
Riverside-San Bernardino-Ontario, CA,23
Roanoke, VA,157
Rochester, MN,181
Rochester, NY,56
Rockford, IL,159
Rocky Mount, NC,268
Rome, GA,359
Sacramento--Roseville--Arden-Arcade, CA,34
Saginaw, MI,226
St. Cloud, MN,203
St. George, UT,312
St. Joseph, MO-KS,296
St. Louis, MO-IL,22
Salem, OR,149
Salinas, CA,111
Salisbury, MD-DE,135
Salt Lake City, UT,41
San Angelo, TX,325
San Antonio-New Braunfels, TX,35
San Diego-Carlsbad, CA,17
San Francisco-Oakland-Hayward, CA,7
San Jose-Sunnyvale-Santa Clara, CA,14
San Luis Obispo-Paso Robles-Arroyo Grande, CA,161
Santa Cruz-Watsonville, CA,168
Santa Fe, NM,246
Santa Maria-Santa Barbara, CA,102
Santa Rosa, CA,93
Savannah, GA,136
Scranton--Wilkes-Barre--Hazleton, PA,110
Seattle-Tacoma-Bellevue, WA,11
Sebastian-Vero Beach, FL,291
Sebring, FL,382
Sheboygan, WI,274
Sherman-Denison, TX,339
Shreveport-Bossier City, LA,117
Sierra Vista-Douglas, AZ,354
Sioux City, IA-NE-SD,208
Sioux Falls, SD,129
South Bend-Mishawaka, IN-MI,163
Spartanburg, SC,158
Spokane-Spokane Valley, WA,106
Springfield, IL,205
Springfield, MA,92
Springfield, MO,131
Springfield, OH,338
State College, PA,221
Staunton-Waynesboro, VA,319
Stockton-Lodi, CA,98
Sumter, SC,362
Syracuse, NY,80
Tallahassee, FL,152
Tampa-St. Petersburg-Clearwater, FL,24
Terre Haute, IN,262
Texarkana, TX-AR,304
The Villages, FL,379
Toledo, OH,79
Topeka, KS,195
Trenton, NJ,84
Tucson, AZ,76
Tulsa, OK,54
Tuscaloosa, AL,190
Tyler, TX,170
Urban Honolulu, HI,50
Utica-Rome, NY,193
Valdosta, GA,327
Vallejo-Fairfield, CA,119
Victoria, TX,331
Vineland-Bridgeton, NJ,283
Virginia Beach-Norfolk-Newport News, VA-NC,39
Visalia-Porterville, CA,153
Waco, TX,183
Walla Walla, WA,376
Warner Robins, GA,251
